Id,Title,Is this an experimental talk?,State,Accepted track,Submitted for tracks,Reviewed for tracks,Accepted type,Submitted type
324,Open charm production in fixed-target mode at LHCb,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
253,Measurements of the Two-Point Energy Correlator in pp Collisions at $\sqrt{s}$ = 510 GeV,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
206,System-size dependence of charged-particle $R_{\mathrm{AA}}$,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
262,Charmonium production in Pb–-Pb collisions at forward rapidity with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
332,$\Lambda$ polarization measurements at LHCb,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
68,Jet azimuthal anisotropies in O+O and Ne+Ne collisions at $\sqrt{s_{\mathrm{NN}}}=5.36~\mathrm{TeV}$ with ATLAS,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
310,Exploring Muon Identification for Heavy Flavor Measurements in the sPHENIX Experiment,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
133,Differential Flow Measurements with multiparticle cumulant up to high-$p_T$ in OO & NeNe Collisions in CMS,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
42,Charged-particle jet fragmentation in pp collisions with ALICE,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
326,Search for axion-like particles in ultra-peripheral collisions with the LHCb detector,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
294,$J/\psi$ elliptical-flow $v_2$ analysis in OO collisions at midrapidity using ALICE Run-3 data,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
355,sPHENIX probes of multiparton interaction and QCD radiation in jet events in p+p collisions,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
367,In situ jet energy calibration using prompt photon+jets in $p$+$p$ collisions at \sqrt{s}=200 GeV with the sPHENIX detector,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
339,Reconstructing γ→e+e- with the sPHENIX detector at RHIC,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Poster presentation
16,Charged-particle jet production in OO collisions at $\sqrt{s_{\rm NN}} = 5.36$ TeV with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
38,Measurement of the Lund jet plane in $pp$ collisions at $\sqrt{s}$ = 200 GeV with STAR,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
202,Measurements of jet substructure in p+p collisions with the sPHENIX detector as a baseline for QGP modification studies,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
229,Measurements of $D^{0}$ and $D^{*}$ production in p+p collisions at $\sqrt{s}$ = 510 GeV in the STAR experiment,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
386,Calibration and Performance Studies of the sPHENIX Hadronic Calorimeter Using Cosmic-Ray Muons and LED Monitoring,Yes,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Poster presentation,Poster presentation
232,Groomed vs ungroomed jet angularities from \sqrt{s} = 200 GeV  p + p collisions in STAR,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
21,Measurement of direct-photon HBT with the photon conversion method in ALICE in Pb--Pb collisions at $\sqrt{s_\mathrm{NN}}$ = 5.36 TeV,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Poster presentation
319,Femtoscopy measurements at LHCb,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
279,Associated production of open and hidden heavy-flavour hadrons in pp collisions with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
74,Prompt and non-prompt D-meson production in pp collisions with ALICE: A test of pQCD,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
